Time(s)	C2H6	CH3J	C2H5J	CH4	HJ	C2H4	H2	C3H7J	C2H3J	C2H2	C4H7J	C4H7J	C4H6	
 0.39547E-20     0.90276E-05     0.16889E-22     0.44687E-25     0.14491E-37     0.44687E-25     0.85960E-38     0.10995E-37     0.38837E-69     0.10244E-59     0.32704E-72     0.16259-118     0.57641-117     0.39404E-97    
 0.11864E-19     0.90276E-05     0.50667E-22     0.13406E-24     0.78666E-37     0.13406E-24     0.46664E-37     0.59685E-37     0.85442E-68     0.84883E-59     0.36441E-71     0.86195-104     0.70862-116     0.16887E-96    
 0.27683E-19     0.90276E-05     0.11822E-21     0.31281E-24     0.38392E-36     0.31281E-24     0.22774E-36     0.29129E-36     0.16619E-66     0.72841E-58     0.55763E-70     0.83437-102     0.67992-114     0.13639E-95    
 0.59321E-19     0.90276E-05     0.25333E-21     0.67030E-24     0.16681E-35     0.67030E-24     0.98950E-36     0.12656E-35     0.37850E-65     0.72271E-57     0.13008E-68     0.92588-100     0.17624-111     0.68099E-94    
 0.12260E-18     0.90276E-05     0.52356E-21     0.13853E-23     0.70166E-35     0.13853E-23     0.41621E-35     0.53235E-35     0.66911E-64     0.62153E-56     0.22788E-67     0.66512E-98     0.24801-109     0.94895E-93    
 0.24915E-18     0.90276E-05     0.10640E-20     0.28153E-23     0.28823E-34     0.28153E-23     0.17097E-34     0.21868E-34     0.11224E-62     0.51482E-55     0.37928E-66     0.45498E-96     0.33786-107     0.15572E-91    
 0.50225E-18     0.90276E-05     0.21449E-20     0.56752E-23     0.11695E-33     0.56752E-23     0.69371E-34     0.88728E-34     0.18396E-61     0.41917E-54     0.61869E-65     0.30070E-94     0.44622-105     0.24940E-90    
 0.10085E-17     0.90276E-05     0.43067E-20     0.11395E-22     0.47124E-33     0.11395E-22     0.27953E-33     0.35753E-33     0.29799E-60     0.33839E-53     0.99977E-64     0.19574E-92     0.58085-103     0.39930E-89    
 0.20209E-17     0.90276E-05     0.86303E-20     0.22835E-22     0.18921E-32     0.22835E-22     0.11224E-32     0.14355E-32     0.47979E-59     0.27198E-52     0.16078E-62     0.12635E-90     0.74992-101     0.63896E-88    
 0.40457E-17     0.90276E-05     0.17277E-19     0.45715E-22     0.75828E-32     0.45715E-22     0.44981E-32     0.57532E-32     0.77010E-58     0.21810E-51     0.25792E-61     0.81222E-89     0.96414E-99     0.10224E-86    
 0.80953E-17     0.90276E-05     0.34572E-19     0.91474E-22     0.30361E-31     0.91474E-22     0.18010E-31     0.23035E-31     0.12341E-56     0.17469E-50     0.41321E-60     0.52097E-87     0.12369E-96     0.16358E-85    
 0.16195E-16     0.90276E-05     0.69160E-19     0.18299E-21     0.12150E-30     0.18299E-21     0.72073E-31     0.92184E-31     0.19762E-55     0.13984E-49     0.66158E-59     0.33379E-85     0.15850E-94     0.26173E-84    
 0.32393E-16     0.90276E-05     0.13834E-18     0.36603E-21     0.48612E-30     0.36603E-21     0.28836E-30     0.36883E-30     0.31631E-54     0.11191E-48     0.10589E-57     0.21375E-83     0.20299E-92     0.41877E-83    
 0.64790E-16     0.90276E-05     0.27669E-18     0.73211E-21     0.19447E-29     0.73211E-21     0.11536E-29     0.14755E-29     0.50621E-53     0.89538E-48     0.16945E-56     0.13684E-81     0.25990E-90     0.67004E-82    
 0.12958E-15     0.90276E-05     0.55340E-18     0.14643E-20     0.77794E-29     0.14643E-20     0.46147E-29     0.59023E-29     0.81001E-52     0.71637E-47     0.27115E-55     0.87589E-80     0.33272E-88     0.10721E-80    
 0.25917E-15     0.90276E-05     0.11068E-17     0.29286E-20     0.31119E-28     0.29286E-20     0.18459E-28     0.23610E-28     0.12961E-50     0.57312E-46     0.43386E-54     0.56062E-78     0.42592E-86     0.17154E-79    
 0.51835E-15     0.90276E-05     0.22137E-17     0.58572E-20     0.12448E-27     0.58572E-20     0.73838E-28     0.94441E-28     0.20738E-49     0.45852E-45     0.69421E-53     0.35882E-76     0.54521E-84     0.27447E-78    
 0.10367E-14     0.90276E-05     0.44273E-17     0.11714E-19     0.49791E-27     0.11714E-19     0.29535E-27     0.37777E-27     0.33181E-48     0.36684E-44     0.11108E-51     0.22966E-74     0.69793E-82     0.43920E-77    
 0.20734E-14     0.90276E-05     0.88547E-17     0.23429E-19     0.19916E-26     0.23429E-19     0.11814E-26     0.15111E-26     0.53090E-47     0.29351E-43     0.17775E-50     0.14700E-72     0.89345E-80     0.70290E-76    
 0.41468E-14     0.90276E-05     0.17709E-16     0.46858E-19     0.79666E-26     0.46858E-19     0.47257E-26     0.60443E-26     0.84944E-46     0.23486E-42     0.28446E-49     0.94102E-71     0.11439E-77     0.11255E-74    
 0.82936E-14     0.90276E-05     0.35419E-16     0.93715E-19     0.31866E-25     0.93715E-19     0.18903E-25     0.24177E-25     0.13591E-44     0.18797E-41     0.45534E-48     0.60252E-69     0.14648E-75     0.18077E-73    
 0.16587E-13     0.90276E-05     0.70838E-16     0.18743E-18     0.12747E-24     0.18743E-18     0.75611E-25     0.96709E-25     0.21745E-43     0.15052E-40     0.72918E-47     0.38596E-67     0.18767E-73     0.29665E-72    
 0.33175E-13     0.90276E-05     0.14168E-15     0.37486E-18     0.50986E-24     0.37486E-18     0.30245E-24     0.38684E-24     0.34792E-42     0.12063E-39     0.11687E-45     0.24746E-65     0.24064E-71     0.56516E-71    
 0.66349E-13     0.90276E-05     0.28335E-15     0.74972E-18     0.20395E-23     0.74972E-18     0.12098E-23     0.15473E-23     0.55666E-41     0.96855E-39     0.18765E-44     0.15894E-63     0.30912E-69     0.20529E-69    
 0.13270E-12     0.90276E-05     0.56670E-15     0.14995E-17     0.81578E-23     0.14994E-17     0.48391E-23     0.61894E-23     0.89059E-40     0.78045E-38     0.30231E-43     0.10245E-61     0.39849E-67     0.18052E-67    
 0.26540E-12     0.90276E-05     0.11334E-14     0.29989E-17     0.32631E-22     0.29989E-17     0.19357E-22     0.24758E-22     0.14248E-38     0.63332E-37     0.49036E-42     0.66497E-60     0.51726E-65     0.22061E-65    
 0.53079E-12     0.90276E-05     0.22668E-14     0.59979E-17     0.13052E-21     0.59978E-17     0.77428E-22     0.99030E-22     0.22790E-37     0.52100E-36     0.80589E-41     0.43748E-58     0.68052E-63     0.28796E-63    
 0.10616E-11     0.90276E-05     0.45336E-14     0.11996E-16     0.52210E-21     0.11995E-16     0.30972E-21     0.39612E-21     0.36446E-36     0.43975E-35     0.13576E-39     0.29522E-56     0.91823E-61     0.38816E-61    
 0.21232E-11     0.90276E-05     0.90672E-14     0.23994E-16     0.20884E-20     0.23991E-16     0.12389E-20     0.15845E-20     0.58254E-35     0.38852E-34     0.23905E-38     0.20843E-54     0.12960E-58     0.54780E-59    
 0.42463E-11     0.90276E-05     0.18134E-13     0.47992E-16     0.83536E-20     0.47981E-16     0.49561E-20     0.63378E-20     0.93017E-34     0.36958E-33     0.45232E-37     0.15832E-52     0.19677E-56     0.83168E-57    
 0.84927E-11     0.90276E-05     0.36269E-13     0.96003E-16     0.33414E-19     0.95959E-16     0.19827E-19     0.25351E-19     0.14822E-32     0.38967E-32     0.94723E-36     0.13317E-50     0.33076E-54     0.13981E-54    
 0.12739E-10     0.90276E-05     0.54403E-13     0.14403E-15     0.75182E-19     0.14393E-15     0.44618E-19     0.57038E-19     0.65402E-32     0.14723E-31     0.46124E-35     0.12923E-49     0.36266E-53     0.15330E-53    
 0.21232E-10     0.90276E-05     0.90672E-13     0.24015E-15     0.20884E-18     0.23988E-15     0.12398E-18     0.15843E-18     0.50911E-31     0.94779E-31     0.49452E-34     0.41524E-48     0.20958E-51     0.88599E-52    
 0.28755E-10     0.90276E-05     0.12280E-12     0.32536E-15     0.38305E-18     0.32486E-15     0.22745E-18     0.29059E-18     0.15717E-30     0.27305E-30     0.17370E-33     0.24160E-47     0.13286E-50     0.56167E-51    
 0.36278E-10     0.90276E-05     0.15493E-12     0.41064E-15     0.60971E-18     0.40983E-15     0.36212E-18     0.46251E-18     0.38046E-30     0.63087E-30     0.47834E-33     0.95895E-47     0.61536E-50     0.26015E-50    
 0.43801E-10     0.90276E-05     0.18705E-12     0.49597E-15     0.88880E-18     0.49479E-15     0.52800E-18     0.67420E-18     0.78210E-30     0.12560E-29     0.10984E-32     0.31326E-46     0.22134E-49     0.93575E-50    
 0.51324E-10     0.90276E-05     0.21918E-12     0.58136E-15     0.12203E-17     0.57974E-15     0.72512E-18     0.92566E-18     0.14387E-29     0.22575E-29     0.22332E-32     0.86679E-46     0.66860E-49     0.28267E-49    
 0.66370E-10     0.90276E-05     0.28344E-12     0.75233E-15     0.20407E-17     0.74962E-15     0.12131E-17     0.15478E-17     0.38655E-29     0.58867E-29     0.71470E-32     0.47677E-45     0.43403E-48     0.18351E-48    
 0.81416E-10     0.90276E-05     0.34769E-12     0.92354E-15     0.30708E-17     0.91947E-15     0.18264E-17     0.23290E-17     0.85085E-29     0.12729E-28     0.18192E-31     0.17737E-44     0.18233E-47     0.77091E-48    
 0.96462E-10     0.90276E-05     0.41194E-12     0.10950E-14     0.43107E-17     0.10893E-14     0.25650E-17     0.32692E-17     0.16453E-28     0.24351E-28     0.40073E-31     0.53658E-44     0.61401E-47     0.25962E-47    
 0.11151E-09     0.90276E-05     0.47620E-12     0.12667E-14     0.57604E-17     0.12591E-14     0.34292E-17     0.43683E-17     0.28997E-28     0.42652E-28     0.79712E-31     0.14139E-43     0.17971E-46     0.75988E-47    
 0.12655E-09     0.90276E-05     0.54045E-12     0.14386E-14     0.74197E-17     0.14288E-14     0.44191E-17     0.56263E-17     0.47627E-28     0.69840E-28     0.14661E-30     0.33434E-43     0.47155E-46     0.19940E-46    
 0.15665E-09     0.90276E-05     0.66896E-12     0.17833E-14     0.11368E-16     0.17682E-14     0.67769E-17     0.86189E-17     0.10992E-27     0.16121E-27     0.41600E-30     0.14903E-42     0.26768E-45     0.11321E-45    
 0.18295E-09     0.90276E-05     0.78129E-12     0.20853E-14     0.15506E-16     0.20648E-14     0.92518E-17     0.11755E-16     0.20175E-27     0.29713E-27     0.89286E-30     0.43618E-42     0.91389E-45     0.38654E-45    
 0.20926E-09     0.90276E-05     0.89363E-12     0.23881E-14     0.20286E-16     0.23613E-14     0.12114E-16     0.15377E-16     0.34071E-27     0.50498E-27     0.17318E-29     0.11023E-41     0.26330E-44     0.11138E-44    
 0.23556E-09     0.90276E-05     0.10060E-11     0.26916E-14     0.25707E-16     0.26576E-14     0.15363E-16     0.19484E-16     0.53993E-27     0.80651E-27     0.31077E-29     0.24934E-41     0.66636E-44     0.28190E-44    
 0.26187E-09     0.90276E-05     0.11183E-11     0.29958E-14     0.31768E-16     0.29539E-14     0.19002E-16     0.24076E-16     0.81387E-27     0.12264E-26     0.52449E-29     0.51749E-41     0.15277E-43     0.64636E-44    
 0.31448E-09     0.90276E-05     0.13430E-11     0.36066E-14     0.45815E-16     0.35462E-14     0.27449E-16     0.34713E-16     0.16495E-26     0.25344E-26     0.12997E-28     0.18524E-40     0.66143E-43     0.27991E-43    
 0.36709E-09     0.90276E-05     0.15676E-11     0.42202E-14     0.62427E-16     0.41381E-14     0.37463E-16     0.47289E-16     0.29860E-26     0.46845E-26     0.28009E-28     0.54163E-40     0.22557E-42     0.95478E-43    
 0.41970E-09     0.90276E-05     0.17923E-11     0.48368E-14     0.81603E-16     0.47297E-14     0.49050E-16     0.61802E-16     0.49775E-26     0.79784E-26     0.54473E-28     0.13672E-39     0.64781E-42     0.27425E-42    
 0.47231E-09     0.90276E-05     0.20169E-11     0.54563E-14     0.10334E-15     0.53209E-14     0.62220E-16     0.78250E-16     0.77920E-26     0.12765E-25     0.97966E-28     0.30909E-39     0.16388E-41     0.69391E-42    
 0.52492E-09     0.90276E-05     0.22416E-11     0.60787E-14     0.12765E-15     0.59117E-14     0.76978E-16     0.96632E-16     0.11609E-25     0.19438E-25     0.16564E-27     0.64119E-39     0.37590E-41     0.15920E-41    
 0.63014E-09     0.90276E-05     0.26909E-11     0.73322E-14     0.18395E-15     0.70924E-14     0.11129E-15     0.13920E-15     0.23021E-25     0.40262E-25     0.41170E-27     0.22930E-38     0.16332E-40     0.69202E-41    
 0.73536E-09     0.90276E-05     0.31402E-11     0.85972E-14     0.25051E-15     0.82719E-14     0.15205E-15     0.18949E-15     0.40843E-25     0.74547E-25     0.88913E-27     0.66900E-38     0.55709E-40     0.23614E-40    
 0.84058E-09     0.90276E-05     0.35895E-11     0.98738E-14     0.32732E-15     0.94501E-14     0.19931E-15     0.24749E-15     0.66822E-25     0.12714E-24     0.17321E-26     0.16841E-37     0.15975E-39     0.67741E-40    
 0.94580E-09     0.90276E-05     0.40387E-11     0.11162E-13     0.41440E-15     0.10627E-13     0.25314E-15     0.31321E-15     0.10280E-24     0.20365E-24     0.31192E-26     0.37961E-37     0.40321E-39     0.17105E-39    
 0.10510E-08     0.90276E-05     0.44880E-11     0.12461E-13     0.51172E-15     0.11803E-13     0.31358E-15     0.38662E-15     0.15069E-24     0.31044E-24     0.52799E-26     0.78509E-37     0.92256E-39     0.39152E-39    
 0.11562E-08     0.90276E-05     0.49372E-11     0.13771E-13     0.61931E-15     0.12978E-13     0.38071E-15     0.46773E-15     0.21247E-24     0.45462E-24     0.85011E-26     0.15148E-36     0.19513E-38     0.82842E-39    
 0.13667E-08     0.90276E-05     0.58357E-11     0.16426E-13     0.86525E-15     0.15325E-13     0.53522E-15     0.65301E-15     0.38586E-24     0.88746E-24     0.19596E-25     0.47953E-36     0.72911E-38     0.30979E-38    
 0.15771E-08     0.90276E-05     0.67341E-11     0.19125E-13     0.11522E-14     0.17669E-13     0.71714E-15     0.86900E-15     0.63969E-24     0.15744E-23     0.40091E-25     0.12851E-35     0.22528E-37     0.95798E-38    
 0.17876E-08     0.90276E-05     0.76325E-11     0.21868E-13     0.14802E-14     0.20010E-13     0.92690E-15     0.11157E-14     0.99125E-24     0.26000E-23     0.75003E-25     0.30392E-35     0.60321E-37     0.25671E-37    
 0.19980E-08     0.90276E-05     0.85308E-11     0.24654E-13     0.18492E-14     0.22349E-13     0.11650E-14     0.13929E-14     0.14583E-23     0.40612E-23     0.13089E-24     0.65223E-35     0.14455E-36     0.61563E-37    
 0.22085E-08     0.90276E-05     0.94291E-11     0.27483E-13     0.22592E-14     0.24686E-13     0.14318E-14     0.17008E-14     0.20591E-23     0.60672E-23     0.21606E-24     0.12954E-34     0.31710E-36     0.13516E-36    
 0.26293E-08     0.90276E-05     0.11226E-10     0.33268E-13     0.32023E-14     0.29355E-13     0.20533E-14     0.24084E-14     0.37366E-23     0.12213E-22     0.51754E-24     0.42774E-34     0.12527E-35     0.53484E-36    
 0.30081E-08     0.90276E-05     0.12842E-10     0.38616E-13     0.41913E-14     0.33556E-13     0.27154E-14     0.31497E-14     0.58943E-23     0.20961E-22     0.10157E-23     0.10716E-33     0.35960E-35     0.15376E-35    
 0.33869E-08     0.90276E-05     0.14459E-10     0.44097E-13     0.53132E-14     0.37758E-13     0.34771E-14     0.39900E-14     0.87856E-23     0.33746E-22     0.18405E-23     0.24020E-33     0.90806E-35     0.38883E-35    
 0.37657E-08     0.90276E-05     0.16075E-10     0.49707E-13     0.65679E-14     0.41963E-13     0.43411E-14     0.49293E-14     0.12530E-22     0.51660E-22     0.31317E-23     0.49335E-33     0.20734E-34     0.88913E-35    
 0.41445E-08     0.90276E-05     0.17692E-10     0.55445E-13     0.79555E-14     0.46173E-13     0.53096E-14     0.59678E-14     0.17250E-22     0.75930E-22     0.50645E-23     0.94453E-33     0.43679E-34     0.18757E-34    
 0.45233E-08     0.90276E-05     0.19308E-10     0.61308E-13     0.94760E-14     0.50391E-13     0.63850E-14     0.71056E-14     0.23073E-22     0.10791E-21     0.78537E-23     0.17066E-32     0.86126E-34     0.37038E-34    
 0.49021E-08     0.90276E-05     0.20924E-10     0.67294E-13     0.11129E-13     0.54618E-13     0.75696E-14     0.83429E-14     0.30128E-22     0.14911E-21     0.11758E-22     0.29377E-32     0.16067E-33     0.69195E-34    
 0.52809E-08     0.90276E-05     0.22540E-10     0.73401E-13     0.12915E-13     0.58857E-13     0.88655E-14     0.96799E-14     0.38548E-22     0.20113E-21     0.17083E-22     0.48524E-32     0.28595E-33     0.12333E-33    
 0.56597E-08     0.90276E-05     0.24155E-10     0.79628E-13     0.14834E-13     0.63110E-13     0.10275E-13     0.11117E-13     0.48470E-22     0.26576E-21     0.24186E-22     0.77355E-32     0.48869E-33     0.21107E-33    
 0.60385E-08     0.90276E-05     0.25771E-10     0.85972E-13     0.16886E-13     0.67378E-13     0.11801E-13     0.12655E-13     0.60033E-22     0.34488E-21     0.33483E-22     0.11957E-31     0.80621E-33     0.34870E-33    
 0.64173E-08     0.90276E-05     0.27386E-10     0.92431E-13     0.19070E-13     0.71663E-13     0.13444E-13     0.14293E-13     0.73379E-22     0.44052E-21     0.45446E-22     0.17989E-31     0.12895E-32     0.55852E-33    
 0.67961E-08     0.90276E-05     0.29002E-10     0.99005E-13     0.21388E-13     0.75967E-13     0.15207E-13     0.16032E-13     0.88655E-22     0.55485E-21     0.60613E-22     0.26424E-31     0.20066E-32     0.87040E-33    
 0.71749E-08     0.90276E-05     0.30617E-10     0.10569E-12     0.23838E-13     0.80292E-13     0.17093E-13     0.17873E-13     0.10601E-21     0.69017E-21     0.79591E-22     0.37996E-31     0.30472E-32     0.13237E-32    
 0.75537E-08     0.90276E-05     0.32232E-10     0.11249E-12     0.26420E-13     0.84638E-13     0.19103E-13     0.19817E-13     0.12559E-21     0.84891E-21     0.10306E-21     0.53602E-31     0.45271E-32     0.19694E-32    
 0.79325E-08     0.90276E-05     0.33847E-10     0.11939E-12     0.29136E-13     0.89008E-13     0.21239E-13     0.21863E-13     0.14756E-21     0.10336E-20     0.13177E-21     0.74328E-31     0.65943E-32     0.28728E-32    
 0.83113E-08     0.90276E-05     0.35462E-10     0.12641E-12     0.31984E-13     0.93403E-13     0.23503E-13     0.24012E-13     0.17207E-21     0.12470E-20     0.16656E-21     0.10147E-30     0.94351E-32     0.41164E-32    
 0.86901E-08     0.90276E-05     0.37076E-10     0.13353E-12     0.34965E-13     0.97824E-13     0.25897E-13     0.26265E-13     0.19929E-21     0.14919E-20     0.20835E-21     0.13658E-30     0.13282E-31     0.58030E-32    
 0.90689E-08     0.90276E-05     0.38691E-10     0.14075E-12     0.38079E-13     0.10227E-12     0.28424E-13     0.28623E-13     0.22937E-21     0.17713E-20     0.25815E-21     0.18147E-30     0.18420E-31     0.80596E-32    
 0.94476E-08     0.90276E-05     0.40305E-10     0.14808E-12     0.41325E-13     0.10675E-12     0.31085E-13     0.31086E-13     0.26248E-21     0.20883E-20     0.31706E-21     0.23827E-30     0.25200E-31     0.11042E-31    
 0.98264E-08     0.90276E-05     0.41920E-10     0.15551E-12     0.44704E-13     0.11126E-12     0.33881E-13     0.33655E-13     0.29878E-21     0.24461E-20     0.38628E-21     0.30943E-30     0.34044E-31     0.14939E-31    
 0.10205E-07     0.90276E-05     0.43534E-10     0.16304E-12     0.48216E-13     0.11580E-12     0.36816E-13     0.36330E-13     0.33847E-21     0.28480E-20     0.46710E-21     0.39782E-30     0.45462E-31     0.19978E-31    
 0.10584E-07     0.90276E-05     0.45148E-10     0.17067E-12     0.51860E-13     0.12037E-12     0.39890E-13     0.39113E-13     0.38169E-21     0.32975E-20     0.56093E-21     0.50668E-30     0.60058E-31     0.26431E-31    
 0.10963E-07     0.90276E-05     0.46762E-10     0.17841E-12     0.55638E-13     0.12497E-12     0.43106E-13     0.42003E-13     0.42864E-21     0.37983E-20     0.66928E-21     0.63975E-30     0.78553E-31     0.34620E-31    
 0.11720E-07     0.90276E-05     0.49989E-10     0.19416E-12     0.63590E-13     0.13429E-12     0.49969E-13     0.48113E-13     0.53441E-21     0.49687E-20     0.93615E-21     0.99600E-30     0.13076E-30     0.57796E-31    
 0.12402E-07     0.90276E-05     0.52893E-10     0.20868E-12     0.71200E-13     0.14279E-12     0.56648E-13     0.53989E-13     0.64416E-21     0.62363E-20     0.12435E-20     0.14478E-29     0.20115E-30     0.89138E-31    
 0.13084E-07     0.90276E-05     0.55797E-10     0.22349E-12     0.79241E-13     0.15142E-12     0.63814E-13     0.60229E-13     0.76882E-21     0.77320E-20     0.16268E-20     0.20620E-29     0.30223E-30     0.13428E-30    
 0.13766E-07     0.90276E-05     0.58700E-10     0.23861E-12     0.87710E-13     0.16018E-12     0.71476E-13     0.66837E-13     0.90951E-21     0.94814E-20     0.20993E-20     0.28834E-29     0.44460E-30     0.19805E-30    
 0.14448E-07     0.90275E-05     0.61603E-10     0.25403E-12     0.96610E-13     0.16907E-12     0.79644E-13     0.73820E-13     0.10674E-20     0.11511E-19     0.26757E-20     0.39657E-29     0.64170E-30     0.28658E-30    
 0.15130E-07     0.90275E-05     0.64505E-10     0.26974E-12     0.10594E-12     0.17809E-12     0.88329E-13     0.81182E-13     0.12436E-20     0.13851E-19     0.33721E-20     0.53730E-29     0.91028E-30     0.40757E-30    
 0.15811E-07     0.90275E-05     0.67407E-10     0.28574E-12     0.11570E-12     0.18726E-12     0.97539E-13     0.88931E-13     0.14394E-20     0.16528E-19     0.42065E-20     0.71809E-29     0.12711E-29     0.57060E-30    
 0.16493E-07     0.90275E-05     0.70308E-10     0.30202E-12     0.12588E-12     0.19657E-12     0.10729E-12     0.97071E-13     0.16559E-20     0.19575E-19     0.51983E-20     0.94779E-29     0.17496E-29     0.78740E-30    
 0.17175E-07     0.90275E-05     0.73209E-10     0.31859E-12     0.13650E-12     0.20602E-12     0.11758E-12     0.10561E-12     0.18944E-20     0.23023E-19     0.63687E-20     0.12367E-28     0.23765E-29     0.10723E-29    
 0.17857E-07     0.90275E-05     0.76110E-10     0.33544E-12     0.14755E-12     0.21563E-12     0.12842E-12     0.11455E-12     0.21562E-20     0.26906E-19     0.77406E-20     0.15966E-28     0.31891E-29     0.14426E-29    
 0.18539E-07     0.90275E-05     0.79010E-10     0.35256E-12     0.15902E-12     0.22538E-12     0.13983E-12     0.12390E-12     0.24425E-20     0.31258E-19     0.93390E-20     0.20413E-28     0.42315E-29     0.19190E-29    
 0.19221E-07     0.90275E-05     0.81910E-10     0.36996E-12     0.17093E-12     0.23530E-12     0.15181E-12     0.13367E-12     0.27547E-20     0.36114E-19     0.11191E-19     0.25864E-28     0.55563E-29     0.25263E-29    
 0.19902E-07     0.90275E-05     0.84809E-10     0.38762E-12     0.18326E-12     0.24537E-12     0.16437E-12     0.14387E-12     0.30941E-20     0.41513E-19     0.13324E-19     0.32494E-28     0.72254E-29     0.32936E-29    
 0.20584E-07     0.90275E-05     0.87708E-10     0.40556E-12     0.19603E-12     0.25560E-12     0.17752E-12     0.15449E-12     0.34621E-20     0.47491E-19     0.15771E-19     0.40505E-28     0.93114E-29     0.42552E-29    
 0.21266E-07     0.90275E-05     0.90606E-10     0.42376E-12     0.20922E-12     0.26599E-12     0.19127E-12     0.16555E-12     0.38600E-20     0.54087E-19     0.18563E-19     0.50123E-28     0.11899E-28     0.54514E-29    
 0.21948E-07     0.90275E-05     0.93504E-10     0.44223E-12     0.22284E-12     0.27654E-12     0.20563E-12     0.17706E-12     0.42892E-20     0.61343E-19     0.21737E-19     0.61600E-28     0.15085E-28     0.69287E-29    
 0.22630E-07     0.90275E-05     0.96401E-10     0.46096E-12     0.23689E-12     0.28726E-12     0.22061E-12     0.18902E-12     0.47512E-20     0.69300E-19     0.25329E-19     0.75219E-28     0.18983E-28     0.87412E-29    
 0.23312E-07     0.90275E-05     0.99298E-10     0.47996E-12     0.25137E-12     0.29815E-12     0.23621E-12     0.20143E-12     0.52474E-20     0.78001E-19     0.29379E-19     0.91296E-28     0.23722E-28     0.10951E-28    
 0.23993E-07     0.90275E-05     0.10219E-09     0.49921E-12     0.26627E-12     0.30921E-12     0.25245E-12     0.21431E-12     0.57793E-20     0.87489E-19     0.33929E-19     0.11018E-27     0.29451E-28     0.13630E-28    
 0.24675E-07     0.90275E-05     0.10509E-09     0.51872E-12     0.28161E-12     0.32043E-12     0.26933E-12     0.22767E-12     0.63483E-20     0.97809E-19     0.39025E-19     0.13225E-27     0.36337E-28     0.16859E-28    
 0.25357E-07     0.90275E-05     0.10799E-09     0.53849E-12     0.29737E-12     0.33183E-12     0.28686E-12     0.24150E-12     0.69560E-20     0.10901E-18     0.44712E-19     0.15795E-27     0.44571E-28     0.20731E-28    
 0.26039E-07     0.90275E-05     0.11088E-09     0.55851E-12     0.31357E-12     0.34340E-12     0.30505E-12     0.25582E-12     0.76039E-20     0.12113E-18     0.51041E-19     0.18773E-27     0.54368E-28     0.25352E-28    
 0.26721E-07     0.90275E-05     0.11378E-09     0.57879E-12     0.33019E-12     0.35514E-12     0.32391E-12     0.27064E-12     0.82936E-20     0.13423E-18     0.58064E-19     0.22212E-27     0.65972E-28     0.30840E-28    
 0.27403E-07     0.90275E-05     0.11667E-09     0.59932E-12     0.34724E-12     0.36706E-12     0.34344E-12     0.28595E-12     0.90266E-20     0.14835E-18     0.65835E-19     0.26167E-27     0.79655E-28     0.37329E-28    
 0.28084E-07     0.90275E-05     0.11956E-09     0.62010E-12     0.36472E-12     0.37915E-12     0.36366E-12     0.30178E-12     0.98046E-20     0.16354E-18     0.74413E-19     0.30700E-27     0.95721E-28     0.44970E-28    
 0.28766E-07     0.90275E-05     0.12246E-09     0.64113E-12     0.38262E-12     0.39142E-12     0.38458E-12     0.31812E-12     0.10629E-19     0.17986E-18     0.83858E-19     0.35878E-27     0.11451E-27     0.53931E-28    
 0.30130E-07     0.90275E-05     0.12824E-09     0.68395E-12     0.41972E-12     0.41649E-12     0.42852E-12     0.35239E-12     0.12424E-19     0.21608E-18     0.10561E-18     0.48465E-27     0.16181E-27     0.76587E-28    
 0.31357E-07     0.90275E-05     0.13345E-09     0.72334E-12     0.45458E-12     0.43967E-12     0.47052E-12     0.38507E-12     0.14216E-19     0.25306E-18     0.12881E-18     0.62796E-27     0.21793E-27     0.10361E-27    
 0.32584E-07     0.90275E-05     0.13865E-09     0.76353E-12     0.49082E-12     0.46343E-12     0.51490E-12     0.41954E-12     0.16185E-19     0.29453E-18     0.15589E-18     0.80544E-27     0.29011E-27     0.13854E-27    
 0.33812E-07     0.90275E-05     0.14385E-09     0.80452E-12     0.52844E-12     0.48777E-12     0.56170E-12     0.45585E-12     0.18341E-19     0.34083E-18     0.18733E-18     0.10234E-26     0.38204E-27     0.18324E-27    
 0.35039E-07     0.90275E-05     0.14906E-09     0.84630E-12     0.56746E-12     0.51270E-12     0.61097E-12     0.49404E-12     0.20695E-19     0.39230E-18     0.22360E-18     0.12892E-26     0.49808E-27     0.23995E-27    
 0.36266E-07     0.90275E-05     0.15426E-09     0.88888E-12     0.60786E-12     0.53822E-12     0.66276E-12     0.53416E-12     0.23256E-19     0.44931E-18     0.26524E-18     0.16110E-26     0.64332E-27     0.31128E-27    
 0.37494E-07     0.90274E-05     0.15945E-09     0.93225E-12     0.64964E-12     0.56434E-12     0.71711E-12     0.57625E-12     0.26038E-19     0.51222E-18     0.31282E-18     0.19979E-26     0.82372E-27     0.40031E-27    
 0.38721E-07     0.90274E-05     0.16465E-09     0.97640E-12     0.69281E-12     0.59105E-12     0.77408E-12     0.62035E-12     0.29049E-19     0.58140E-18     0.36694E-18     0.24604E-26     0.10462E-26     0.51063E-27    
 0.39948E-07     0.90274E-05     0.16984E-09     0.10213E-11     0.73737E-12     0.61835E-12     0.83370E-12     0.66652E-12     0.32302E-19     0.65726E-18     0.42824E-18     0.30100E-26     0.13186E-26     0.64638E-27    
 0.41176E-07     0.90274E-05     0.17504E-09     0.10671E-11     0.78331E-12     0.64625E-12     0.89604E-12     0.71479E-12     0.35808E-19     0.74018E-18     0.49740E-18     0.36597E-26     0.16501E-26     0.81239E-27    
